N,chi_t,witness,C,S_ent,sz_A,sz_B,F_pred,S_chsh
2,3.710389,-0.25000000,0.95983070,-0.00000000,0.00000000,0.00000000,0.98661023,2.77220130
2,3.769911,-0.25000000,0.95105650,0.00000000,0.00000000,0.00000000,0.98368550,2.76007862
4,0.020000,-0.24997500,0.00994934,0.00083651,0.00000000,0.00000000,0.66998311,1.99990000
4,0.079522,-0.24960497,0.03892925,0.01007534,0.00000000,0.00000000,0.67964308,1.99841926
4,0.139045,-0.24879360,0.06688581,0.02689931,0.00000000,0.00000000,0.68896194,1.99516858
4,0.198567,-0.24754378,0.09372000,0.04977117,0.00000000,0.00000000,0.69790667,1.99015086
4,0.258090,-0.24585992,0.11933678,0.07774114,0.00000000,0.00000000,0.70644559,1.98337054
4,0.317612,-0.24374799,0.14364542,0.11010931,0.00000000,0.00000000,0.71454847,1.97483361
4,0.377134,-0.24121547,0.16655982,0.14631642,0.00000000,0.00000000,0.72218661,1.96454765
4,0.436657,-0.23827133,0.18799881,0.18589367,0.00000000,0.00000000,0.72933294,1.95252176
4,0.496179,-0.23492599,0.20788647,0.22843531,0.00000000,0.00000000,0.73596216,1.93876659
4,0.555702,-0.23119132,0.22615236,0.27358214,0.00000000,0.00000000,0.74205079,1.92329432
4,0.615224,-0.22708052,0.24273178,0.32101072,0.00000000,0.00000000,0.74757726,1.90611867
4,0.674746,-0.22260818,0.25756600,0.37042603,0.00000000,0.00000000,0.75252200,1.88725483
4,0.734269,-0.21779011,0.27060250,0.42155620,0.00000000,0.00000000,0.75686750,1.86671952
4,0.793791,-0.21264340,0.28179508,0.47414866,0.00000000,0.00000000,0.76059836,1.84453093
4,0.853314,-0.20718626,0.29110412,0.52796721,0.00000000,0.00000000,0.76370137,1.82070870
4,0.912836,-0.20143803,0.29849664,0.58278981,0.00000000,0.00000000,0.76616555,1.79527394
4,0.972358,-0.19541907,0.30394645,0.63840681,0.00000000,0.00000000,0.76798215,1.76824916
4,1.031881,-0.18915069,0.30743425,0.69461954,0.00000000,0.00000000,0.76914475,1.73965832
4,1.091403,-0.18265510,0.30894770,0.75123921,0.00000000,0.00000000,0.76964923,1.70952672
4,1.150926,-0.17595530,0.30848143,0.80808601,0.00000000,0.00000000,0.76949381,1.67788105
4,1.210448,-0.16907503,0.30603708,0.86498834,0.00000000,0.00000000,0.76867903,1.64474935
4,1.269970,-0.16203864,0.30162333,0.92178223,0.00000000,0.00000000,0.76720778,1.61016095
4,1.329493,-0.15487107,0.29525580,0.97831079,0.00000000,0.00000000,0.76508527,1.57414650
4,1.389015,-0.14759771,0.28695704,1.03442382,0.00000000,0.00000000,0.76231901,1.53673787
4,1.448538,-0.14024430,0.27675645,1.08997746,0.00000000,0.00000000,0.75891882,1.49796822
4,1.508060,-0.13283690,0.26469016,1.14483385,0.00000000,0.00000000,0.75489672,1.45787187
4,1.567582,-0.12540174,0.25080090,1.19886095,0.00000000,0.00000000,0.75026697,1.41648433
4,1.627105,-0.11796516,0.23513787,1.25193226,0.00000000,0.00000000,0.74504596,1.41197217
4,1.686627,-0.11055350,0.21775654,1.30392668,0.00000000,0.00000000,0.73925218,1.40473706
4,1.746150,-0.10319300,0.19871849,1.35472836,0.00000000,0.00000000,0.73290616,1.39252656
4,1.805672,-0.09590974,0.17809113,1.40422656,0.00000000,0.00000000,0.72603038,1.37538390
4,1.865194,-0.08872952,0.15594752,1.45231557,0.00000000,0.00000000,0.71864917,1.35336982
4,1.924717,-0.08167776,0.13236610,1.49889459,0.00000000,0.00000000,0.71078870,1.32656227
4,1.984239,-0.07477944,0.10743040,1.54386766,0.00000000,0.00000000,0.70247680,1.29505622
4,2.043762,-0.06805900,0.08122871,1.58714363,0.00000000,0.00000000,0.69374290,1.25896324
4,2.103284,-0.06154023,0.05385387,1.62863606,0.00000000,0.00000000,0.68461796,1.21841118
4,2.162806,-0.05524623,0.02540280,1.66826322,0.00000000,0.00000000,0.67513427,1.17354366
4,2.222329,-0.04919929,0.00000000,1.70594802,0.00000000,0.00000000,0.66666667,1.12451960
4,2.281851,-0.04342083,0.00000000,1.74161803,0.00000000,0.00000000,0.66666667,1.07151265
4,2.341374,-0.03793131,0.00000000,1.77520538,0.00000000,0.00000000,0.66666667,1.01471053
4,2.400896,-0.03275017,0.00000000,1.80664681,0.00000000,0.00000000,0.66666667,0.95431444
4,2.460418,-0.02789577,0.00000000,1.83588363,0.00000000,0.00000000,0.66666667,0.89053829
4,2.519941,-0.02338531,0.00000000,1.86286171,0.00000000,0.00000000,0.66666667,0.82360797
4,2.579463,-0.01923474,0.00000000,1.88753146,0.00000000,0.00000000,0.66666667,0.75376054
4,2.638986,-0.01545879,0.00000000,1.90984783,0.00000000,0.00000000,0.66666667,0.68124339
4,2.698508,-0.01207081,0.00000000,1.92977031,0.00000000,0.00000000,0.66666667,0.60631336
4,2.758030,-0.00908282,0.00000000,1.94726295,0.00000000,0.00000000,0.66666667,0.52923585
4,2.817553,-0.00650539,0.00000000,1.96229428,0.00000000,0.00000000,0.66666667,0.45028385
4,2.877075,-0.00434765,0.00000000,1.97483741,0.00000000,0.00000000,0.66666667,0.36973701
4,2.936598,-0.00261725,0.00000000,1.98486995,0.00000000,0.00000000,0.66666667,0.28788061
4,2.996120,-0.00132031,0.00000000,1.99237405,0.00000000,0.00000000,0.66666667,0.20500457
4,3.055642,-0.00046143,0.00000000,1.99733636,0.00000000,0.00000000,0.66666667,0.12140243
4,3.115165,-0.00004365,0.00000000,1.99974810,0.00000000,0.00000000,0.66666667,0.03737030
4,3.174687,-0.00006845,0.00000000,1.99960499,0.00000000,0.00000000,0.66666667,0.04679419
4,3.234210,-0.00053574,0.00000000,1.99690728,0.00000000,0.00000000,0.66666667,0.13079295
4,3.293732,-0.00144386,0.00000000,1.99165976,0.00000000,0.00000000,0.66666667,0.21432845
4,3.353254,-0.00278961,0.00000000,1.98387173,0.00000000,0.00000000,0.66666667,0.29710483
4,3.412777,-0.00456820,0.00000000,1.97355703,0.00000000,0.00000000,0.66666667,0.37882890
4,3.472299,-0.00677335,0.00000000,1.96073401,0.00000000,0.00000000,0.66666667,0.45921120
4,3.531822,-0.00939725,0.00000000,1.94542558,0.00000000,0.00000000,0.66666667,0.53796705
4,3.591344,-0.01243060,0.00000000,1.92765915,0.00000000,0.00000000,0.66666667,0.61481748
4,3.650866,-0.01586265,0.00000000,1.90746667,0.00000000,0.00000000,0.66666667,0.68949031
4,3.710389,-0.01968125,0.00000000,1.88488462,0.00000000,0.00000000,0.66666667,0.76172105
4,3.769911,-0.02387288,0.00000000,1.85995401,0.00000000,0.00000000,0.66666667,0.83125388
6,0.020000,-0.24995000,0.00989884,0.00157299,-0.00000000,0.00000000,0.66996628,1.99970003
6,0.079522,-0.24921056,0.03810904,0.01856305,0.00000000,0.00000000,0.67936968,1.99526401
6,0.139045,-0.24759303,0.06431725,0.04891227,0.00000000,0.00000000,0.68810575,1.98556396
6,0.198567,-0.24511169,0.08837010,0.08948988,0.00000000,0.00000000,0.69612337,1.97069390
6,0.258090,-0.24178840,0.11013264,0.13832562,0.00000000,0.00000000,0.70337755,1.95079721
6,0.317612,-0.23765232,0.12948924,0.19393997,0.00000000,0.00000000,0.70982975,1.92606430
6,0.377134,-0.23273960,0.14634419,0.25512975,0.00000000,0.00000000,0.71544806,1.89672952
6,0.436657,-0.22709290,0.16062218,0.32087103,-0.00000000,0.00000000,0.72020739,1.86306729
6,0.496179,-0.22076089,0.17226843,0.39026720,0.00000000,0.00000000,0.72408948,1.82538756
6,0.555702,-0.21379770,0.18124881,0.46251835,0.00000000,0.00000000,0.72708294,1.78403066
6,0.615224,-0.20626226,0.18754954,0.53690195,-0.00000000,0.00000000,0.72918318,1.73936157
6,0.674746,-0.19821760,0.19117689,0.61276013,0.00000000,0.00000000,0.73039230,1.69176373
6,0.734269,-0.18973013,0.19215657,0.68949096,0.00000000,0.00000000,0.73071886,1.64163253
6,0.793791,-0.18086886,0.19053300,0.76654241,0.00000000,0.00000000,0.73017767,1.58936847
6,0.853314,-0.17170459,0.18636842,0.84340799,0.00000000,0.00000000,0.72878947,1.53537030
6,0.912836,-0.16230912,0.17974190,0.91962363,0.00000000,0.00000000,0.72658063,1.48002815
6,0.972358,-0.15275445,0.17074811,0.99476538,0.00000000,0.00000000,0.72358270,1.42371688
6,1.031881,-0.14311194,0.15949616,1.06844772,0.00000000,0.00000000,0.71983205,1.36678984
6,1.091403,-0.13345154,0.14610816,1.14032222,0.00000000,0.00000000,0.71536939,1.30957324
6,1.150926,-0.12384107,0.13071791,1.21007658,0.00000000,0.00000000,0.71023930,1.25236126
6,1.210448,-0.11434546,0.11346936,1.27743380,0.00000000,0.00000000,0.70448979,1.19541222
6,1.269970,-0.10502609,0.09451517,1.34215146,0.00000000,0.00000000,0.69817172,1.13894594
6,1.329493,-0.09594020,0.07401520,1.40402111,0.00000000,0.00000000,0.69133840,1.08314238
6,1.389015,-0.08714033,0.05213502,1.46286763,0.00000000,0.00000000,0.68404501,1.06873352
6,1.448538,-0.07867385,0.02904444,1.51854867,0.00000000,0.00000000,0.67634815,1.05131713
6,1.508060,-0.07058257,0.00491609,1.57095389,0.00000000,0.00000000,0.66830536,1.02884307
6,1.567582,-0.06290239,0.00000000,1.62000430,0.00000000,0.00000000,0.66666667,1.00160050
6,1.627105,-0.05566312,0.00000000,1.66565137,0.00000000,0.00000000,0.66666667,0.96991352
6,1.686627,-0.04888830,0.00000000,1.70787613,0.00000000,0.00000000,0.66666667,0.93413851
6,1.746150,-0.04259518,0.00000000,1.74668808,0.00000000,0.00000000,0.66666667,0.89466120
6,1.805672,-0.03679471,0.00000000,1.78212400,0.00000000,0.00000000,0.66666667,0.85189348
6,1.865194,-0.03149171,0.00000000,1.81424658,-0.00000000,0.00000000,0.66666667,0.80627007
6,1.924717,-0.02668502,0.00000000,1.84314291,0.00000000,0.00000000,0.66666667,0.75824497
6,1.984239,-0.02236786,0.00000000,1.86892279,0.00000000,0.00000000,0.66666667,0.70828773
6,2.043762,-0.01852811,0.00000000,1.89171688,0.00000000,0.00000000,0.66666667,0.65687966
6,2.103284,-0.01514880,0.00000000,1.91167461,0.00000000,0.00000000,0.66666667,0.60450992
6,2.162806,-0.01220858,0.00000000,1.92896202,0.00000000,0.00000000,0.66666667,0.55167154
6,2.222329,-0.00968228,0.00000000,1.94375932,0.00000000,0.00000000,0.66666667,0.49885744
6,2.281851,-0.00754147,0.00000000,1.95625833,0.00000000,0.00000000,0.66666667,0.44655643
6,2.341374,-0.00575514,0.00000000,1.96665976,0.00000000,0.00000000,0.66666667,0.39524926
6,2.400896,-0.00429029,0.00000000,1.97517035,-0.00000000,0.00000000,0.66666667,0.34540473
6,2.460418,-0.00311270,0.00000000,1.98199985,0.00000000,0.00000000,0.66666667,0.29747591
6,2.519941,-0.00218749,0.00000000,1.98735800,0.00000000,0.00000000,0.66666667,0.25189646
6,2.579463,-0.00147990,0.00000000,1.99145137,0.00000000,0.00000000,0.66666667,0.20907716
6,2.638986,-0.00095590,0.00000000,1.99448021,-0.00000000,0.00000000,0.66666667,0.16940258
6,2.698508,-0.00058282,0.00000000,1.99663538,0.00000000,0.00000000,0.66666667,0.13322798
6,2.758030,-0.00032999,0.00000000,1.99809528,0.00000000,0.00000000,0.66666667,0.10087641
6,2.817553,-0.00016928,0.00000000,1.99902301,0.00000000,0.00000000,0.66666667,0.07263619
6,2.877075,-0.00007561,0.00000000,1.99956366,0.00000000,0.00000000,0.66666667,0.04875851
6,2.936598,-0.00002740,0.00000000,1.99984188,0.00000000,0.00000000,0.66666667,0.02945541
6,2.996120,-0.00000697,0.00000000,1.99995976,0.00000000,0.00000000,0.66666667,0.01489814
6,3.055642,-0.00000085,0.00000000,1.99999509,0.00000000,0.00000000,0.66666667,0.00521568
6,3.115165,-0.00000001,0.00000000,1.99999996,0.00000000,0.00000000,0.66666667,0.00049379
6,3.174687,-0.00000002,0.00000000,1.99999989,0.00000000,0.00000000,0.66666667,0.00077428
6,3.234210,-0.00000115,0.00000000,1.99999337,0.00000000,0.00000000,0.66666667,0.00605466
6,3.293732,-0.00000834,0.00000000,1.99995188,0.00000000,0.00000000,0.66666667,0.01628817
6,3.353254,-0.00003113,0.00000000,1.99982037,0.00000000,0.00000000,0.66666667,0.03138420
6,3.412777,-0.00008347,0.00000000,1.99951826,-0.00000000,0.00000000,0.66666667,0.05120894
6,3.472299,-0.00018351,0.00000000,1.99894086,0.00000000,0.00000000,0.66666667,0.07558653
6,3.531822,-0.00035323,0.00000000,1.99796109,0.00000000,0.00000000,0.66666667,0.10430042
6,3.591344,-0.00061808,0.00000000,1.99643173,-0.00000000,0.00000000,0.66666667,0.13709517
6,3.650866,-0.00100649,0.00000000,1.99418784,0.00000000,0.00000000,0.66666667,0.17367847
6,3.710389,-0.00154941,0.00000000,1.99104946,0.00000000,0.00000000,0.66666667,0.21372350
6,3.769911,-0.00227966,0.00000000,1.98682454,0.00000000,0.00000000,0.66666667,0.25687157
8,0.020000,-0.24992501,0.00984835,0.00227169,0.00000000,0.00000000,0.66994945,1.99950007
8,0.079522,-0.24881678,0.03729011,0.02644833,0.00000000,0.00000000,0.67909670,1.99211375
8,0.139045,-0.24639825,0.06176069,0.06905707,0.00000000,0.00000000,0.68725356,1.97600569
8,0.198567,-0.24270349,0.08307038,0.12533127,0.00000000,0.00000000,0.69435679,1.95142810
8,0.258090,-0.23778430,0.10107217,0.19223161,0.00000000,0.00000000,0.70035739,1.91876327
8,0.317612,-0.23170910,0.11566266,0.26745016,0.00000000,0.00000000,0.70522089,1.87851442
8,0.377134,-0.22456157,0.12678208,0.34909552,0.00000000,0.00000000,0.70892736,1.83129361
8,0.436657,-0.21643890,0.13441357,0.43555254,0.00000000,0.00000000,0.71147119,1.77780702
8,0.496179,-0.20744988,0.13858172,0.52540907,0.00000000,0.00000000,0.71286057,1.71883784
8,0.555702,-0.19771269,0.13935045,0.61741392,0.00000000,0.00000000,0.71311682,1.65522728
8,0.615224,-0.18735257,0.13682030,0.71045122,0.00000000,0.00000000,0.71227343,1.58785403
8,0.674746,-0.17649943,0.13112521,0.80352405,0.00000000,0.00000000,0.71037507,1.51761267
8,0.734269,-0.16528538,0.12242892,0.89574362,0.00000000,0.00000000,0.70747631,1.44539173
8,0.793791,-0.15384227,0.11092108,0.98632182,0.00000000,0.00000000,0.70364036,1.37205177
8,0.853314,-0.14229933,0.09681309,1.07456582,0.00000000,0.00000000,0.69893770,1.29840429
8,0.912836,-0.13078092,0.08033396,1.15987401,0.00000000,0.00000000,0.69344465,1.22519231
8,0.972358,-0.11940453,0.06172603,1.24173252,-0.00000000,0.00000000,0.68724201,1.15307317
8,1.031881,-0.10827889,0.04124089,1.31971223,0.00000000,0.00000000,0.68041363,1.08260464
8,1.091403,-0.09750242,0.01913545,1.39346572,0.00000000,0.00000000,0.67304515,1.01423508
8,1.150926,-0.08716197,0.00000000,1.46272414,0.00000000,0.00000000,0.66666667,0.94829841
8,1.210448,-0.07733185,0.00000000,1.52729394,0.00000000,0.00000000,0.66666667,0.89500499
8,1.269970,-0.06807314,0.00000000,1.58705310,-0.00000000,0.00000000,0.66666667,0.87546509
8,1.329493,-0.05943345,0.00000000,1.64194711,0.00000000,0.00000000,0.66666667,0.85070060
8,1.389015,-0.05144685,0.00000000,1.69198450,0.00000000,0.00000000,0.66666667,0.82118164
8,1.448538,-0.04413424,0.00000000,1.73723188,0.00000000,0.00000000,0.66666667,0.78741982
8,1.508060,-0.03750388,0.00000000,1.77780863,-0.00000000,0.00000000,0.66666667,0.74996068
8,1.567582,-0.03155228,0.00000000,1.81388115,0.00000000,0.00000000,0.66666667,0.70937571
8,1.627105,-0.02626523,0.00000000,1.84565683,0.00000000,0.00000000,0.66666667,0.66625410
8,1.686627,-0.02161909,0.00000000,1.87337762,0.00000000,0.00000000,0.66666667,0.62119438
8,1.746150,-0.01758210,0.00000000,1.89731352,0.00000000,0.00000000,0.66666667,0.57479597
8,1.805672,-0.01411589,0.00000000,1.91775588,0.00000000,0.00000000,0.66666667,0.52765086
8,1.865194,-0.01117698,0.00000000,1.93501071,0.00000000,0.00000000,0.66666667,0.48033540
8,1.924717,-0.00871829,0.00000000,1.94939208,-0.00000000,0.00000000,0.66666667,0.43340253
8,1.984239,-0.00669062,0.00000000,1.96121579,0.00000000,0.00000000,0.66666667,0.38737431
8,2.043762,-0.00504402,0.00000000,1.97079340,0.00000000,0.00000000,0.66666667,0.34273510
8,2.103284,-0.00372904,0.00000000,1.97842669,0.00000000,0.00000000,0.66666667,0.29992522
8,2.162806,-0.00269791,0.00000000,1.98440281,0.00000000,0.00000000,0.66666667,0.25933546
8,2.222329,-0.00190545,0.00000000,1.98899008,-0.00000000,0.00000000,0.66666667,0.22130227
8,2.281851,-0.00130983,0.00000000,1.99243466,-0.00000000,0.00000000,0.66666667,0.18610386
8,2.341374,-0.00087320,0.00000000,1.99495802,0.00000000,0.00000000,0.66666667,0.15395719
8,2.400896,-0.00056203,0.00000000,1.99675542,0.00000000,0.00000000,0.66666667,0.12501585
8,2.460418,-0.00034732,0.00000000,1.99799520,0.00000000,0.00000000,0.66666667,0.09936902
8,2.519941,-0.00020462,0.00000000,1.99881902,0.00000000,0.00000000,0.66666667,0.07704130
8,2.579463,-0.00011386,0.00000000,1.99934288,0.00000000,0.00000000,0.66666667,0.05799356
8,2.638986,-0.00005911,0.00000000,1.99965889,0.00000000,0.00000000,0.66666667,0.04212479
8,2.698508,-0.00002814,0.00000000,1.99983761,0.00000000,0.00000000,0.66666667,0.02927479
8,2.758030,-0.00001199,0.00000000,1.99993081,0.00000000,0.00000000,0.66666667,0.01922782
8,2.817553,-0.00000440,0.00000000,1.99997458,0.00000000,0.00000000,0.66666667,0.01171709
8,2.877075,-0.00000131,0.00000000,1.99999241,-0.00000000,0.00000000,0.66666667,0.00642995
8,2.936598,-0.00000029,0.00000000,1.99999834,0.00000000,0.00000000,0.66666667,0.00301382
8,2.996120,-0.00000004,0.00000000,1.99999979,0.00000000,0.00000000,0.66666667,0.00108268
8,3.055642,-0.00000000,0.00000000,1.99999999,0.00000000,0.00000000,0.66666667,0.00022408
8,3.115165,-0.00000000,0.00000000,2.00000000,0.00000000,0.00000000,0.66666667,0.00000652
8,3.174687,-0.00000000,0.00000000,2.00000000,0.00000000,0.00000000,0.66666667,0.00001281
8,3.234210,-0.00000000,0.00000000,1.99999999,0.00000000,0.00000000,0.66666667,0.00028028
8,3.293732,-0.00000005,0.00000000,1.99999972,0.00000000,0.00000000,0.66666667,0.00123784
8,3.353254,-0.00000035,0.00000000,1.99999800,0.00000000,0.00000000,0.66666667,0.00331522
8,3.412777,-0.00000153,0.00000000,1.99999120,-0.00000000,0.00000000,0.66666667,0.00692227
8,3.472299,-0.00000497,0.00000000,1.99997131,0.00000000,0.00000000,0.66666667,0.01244160
8,3.531822,-0.00001328,0.00000000,1.99992338,0.00000000,0.00000000,0.66666667,0.02022164
8,3.591344,-0.00003073,0.00000000,1.99982265,0.00000000,0.00000000,0.66666667,0.03057019
8,3.650866,-0.00006386,0.00000000,1.99963145,0.00000000,0.00000000,0.66666667,0.04374856
8,3.710389,-0.00012198,0.00000000,1.99929604,0.00000000,0.00000000,0.66666667,0.05996649
8,3.769911,-0.00021769,0.00000000,1.99874359,0.00000000,0.00000000,0.66666667,0.07937768
10,0.020000,-0.24990002,0.00979787,0.00294585,0.00000000,0.00000000,0.66993262,1.99930014
10,0.079522,-0.24842362,0.03647244,0.03394083,0.00000000,0.00000000,0.67882415,1.98896846
10,0.139045,-0.24520924,0.05921607,0.08797746,0.00000000,0.00000000,0.68640536,1.96649354
10,0.198567,-0.24031896,0.07782036,0.15861726,0.00000000,0.00000000,0.69260679,1.93235158
10,0.258090,-0.23384651,0.09215307,0.24171358,0.00000000,0.00000000,0.69738436,1.88725979
10,0.317612,-0.22591451,0.10215775,0.33409596,0.00000000,0.00000000,0.70071925,1.83215346
10,0.377134,-0.21667089,0.10785151,0.43315946,0.00000000,0.00000000,0.70261717,1.76815618
10,0.436657,-0.20628474,0.10932095,0.53668514,0.00000000,0.00000000,0.70310698,1.69654406
10,0.496179,-0.19494148,0.10671651,0.64274836,0.00000000,0.00000000,0.70223884,1.61870525
10,0.555702,-0.18283782,0.10024551,0.74966751,0.00000000,0.00000000,0.70008184,1.53609601
10,0.615224,-0.17017647,0.09016426,0.85597341,-0.00000000,0.00000000,0.69672142,1.45019476
10,0.674746,-0.15716087,0.07676938,0.96038991,0.00000000,0.00000000,0.69225646,1.36245568
10,0.734269,-0.14399009,0.06038884,1.06182068,0.00000000,0.00000000,0.68679628,1.27426341
10,0.793791,-0.13085417,0.04137293,1.15933948,0.00000000,0.00000000,0.68045764,1.18689058
10,0.853314,-0.11792986,0.02008550,1.25218197,-0.00000000,0.00000000,0.67336183,1.10145998
10,0.912836,-0.10537701,0.00000000,1.33973821,0.00000000,0.00000000,0.66666667,1.01891324
10,0.972358,-0.09333569,0.00000000,1.42154503,0.00000000,0.00000000,0.66666667,0.93998807
10,1.031881,-0.08192411,0.00000000,1.49727788,0.00000000,0.00000000,0.66666667,0.86520598
10,1.091403,-0.07123726,0.00000000,1.56674196,-0.00000000,0.00000000,0.66666667,0.79487207
10,1.150926,-0.06134645,0.00000000,1.62986242,0.00000000,0.00000000,0.66666667,0.76251198
10,1.210448,-0.05229954,0.00000000,1.68667364,0.00000000,0.00000000,0.66666667,0.73602944
